Female,First-year,"Grants, covering all costs",No,Heterosexual,"Hispanic, Other",Social sciences (not incl. BEO or econ),No,Yes,Domestic,Somewhat disapprove,Somewhat informed,"Passion for subject, Chances of employment after graduation, Influence of faculty members, Influence of family",Strongly agree,Strongly agree,Once or twice a month,Once a week,Somewhat agree,Somewhat disagree,Somewhat agree,Preparation books,"Classes, Mutual friends, Housing arrangements, Parties and other social gatherings, Extracurricular activities",,,,,,
Male,Senior,None,Yes,Heterosexual,White,Business (BEO or econ),No,No,International,Somewhat approve,Very informed,"Passion for subject, Chances of employment after graduation",Strongly disagree,Strongly agree,Once or twice a month,Once or twice a month,Somewhat agree,Somewhat agree,Strongly disagree,Preparation books,"Classes, Mutual friends, Housing arrangements, Parties and other social gatherings, Extracurricular activities",,,,,,
Male,First-year,"Grants, covering some costs",No,Heterosexual,"White, Other",Life sciences,,No,Domestic,Somewhat disapprove,Very uninformed,"Passion for subject, Chances of employment after graduation, Influence of family",Strongly disagree,Somewhat agree,Never,Once a year,Somewhat agree,Somewhat disagree,No opinion,No resources,I have not hooked up with anyone at Brown,,,,,,
Female,First-year,None,No,Heterosexual,White,"Business (BEO or econ), Social sciences (not incl. BEO or econ)",Yes,No,Domestic,Somewhat approve,Very informed,Passion for subject,Strongly agree,No opinion,Never,Once or twice a month,Somewhat agree,Strongly agree,Strongly disagree,"Professional testing tutor (paid), Preparation books, Free resources offered by community or school",Parties and other social gatherings,,,,,,
Female,First-year,None,Yes,Heterosexual,White,Life sciences,Yes,No,Domestic,Somewhat approve,Somewhat informed,"Passion for subject, Chances of employment after graduation",Somewhat agree,Somewhat agree,Once or twice a month,Once or twice a month,Somewhat agree,Strongly disagree,No opinion,"Professional testing tutor (paid), Testing classes (paid), Preparation books, Free resources offered by community or school","Mutual friends, Parties and other social gatherings",,,,,,
Female,First-year,None,Yes,Heterosexual,White,Life sciences,No,No,Domestic,No opinion,Somewhat informed,"Passion for subject, Influence of faculty members",Somewhat agree,Somewhat agree,Once a year,Once a year,Somewhat agree,No opinion,No opinion,"Professional testing tutor (paid), Student testing tutor (paid), Preparation books","Mutual friends, Parties and other social gatherings, Extracurricular activities",,,,,,
Male,Sophomore,None,No,Heterosexual,White,"Humanities/arts, Social sciences (not incl. BEO or econ)",No,No,International,No opinion,Somewhat informed,"Passion for subject, Chances of employment after graduation",Somewhat agree,Somewhat agree,Once or twice a month,Once or twice a month,Strongly agree,Somewhat disagree,Strongly agree,Preparation books,"Classes, Mutual friends",,,,,,
Male,Sophomore,None,No,Heterosexual,White,Life sciences,No,No,International,No opinion,Very uninformed,"Passion for subject, Chances of employment after graduation",Strongly agree,Strongly agree,Once a year,Never,No opinion,Strongly disagree,Somewhat disagree,No resources,"Mutual friends, Parties and other social gatherings",,,,,,
Female,First-year,None,No,Heterosexual,White,Life sciences,No,No,Domestic,Strongly approve,Somewhat informed,"Passion for subject, Chances of employment after graduation",Strongly agree,Strongly agree,Once a year,Once or twice a month,Somewhat agree,Strongly disagree,Strongly disagree,Professional testing tutor (paid),Parties and other social gatherings,,,,,,
Female,First-year,None,No,Heterosexual,White,Life sciences,No,No,Domestic,Strongly approve,Somewhat informed,"Passion for subject, Chances of employment after graduation, Influence of faculty members, Influence of family",Somewhat agree,Strongly agree,Once a year,More than once a week,Strongly agree,No opinion,No opinion,"Preparation books, Free resources offered by community or school",I have not hooked up with anyone at Brown,,,,,,
